######################################################
#             2D Heat Conduction Solver              #
#              Created by J. Mark Epps               #
#          Part of Masters Thesis at UW 2018-2020    #
######################################################

Reading input file...
################################
Initializing geometry package...
################################
Initializing MPI and solver...
################################
Initializing domain...
################################
Saving input file to output directory...
################################

Saving data to numpy array files...
Solving:
Time step 18900, Step size=0.0000024ms, Time elapsed=0.000045s;
Time step 19000, Step size=0.0000024ms, Time elapsed=0.000045s;
Time step 19100, Step size=0.0000024ms, Time elapsed=0.000045s;
Time step 19200, Step size=0.0000024ms, Time elapsed=0.000046s;
Time step 19300, Step size=0.0000024ms, Time elapsed=0.000046s;
Time step 19400, Step size=0.0000024ms, Time elapsed=0.000046s;
Time step 19500, Step size=0.0000024ms, Time elapsed=0.000046s;
Time step 19600, Step size=0.0000024ms, Time elapsed=0.000047s;
Time step 19700, Step size=0.0000024ms, Time elapsed=0.000047s;
Time step 19800, Step size=0.0000024ms, Time elapsed=0.000047s;
Time step 19900, Step size=0.0000024ms, Time elapsed=0.000047s;
Time step 20000, Step size=0.0000024ms, Time elapsed=0.000047s;
Time step 20100, Step size=0.0000024ms, Time elapsed=0.000048s;
Time step 20200, Step size=0.0000024ms, Time elapsed=0.000048s;
Time step 20300, Step size=0.0000024ms, Time elapsed=0.000048s;
Time step 20400, Step size=0.0000024ms, Time elapsed=0.000048s;
Time step 20500, Step size=0.0000024ms, Time elapsed=0.000049s;
Time step 20600, Step size=0.0000024ms, Time elapsed=0.000049s;
Time step 20700, Step size=0.0000024ms, Time elapsed=0.000049s;
Time step 20800, Step size=0.0000024ms, Time elapsed=0.000049s;
Time step 20900, Step size=0.0000024ms, Time elapsed=0.000050s;
Time step 21000, Step size=0.0000024ms, Time elapsed=0.000050s;
Time step 21100, Step size=0.0000024ms, Time elapsed=0.000050s;
Time step 21200, Step size=0.0000024ms, Time elapsed=0.000050s;
Time step 21300, Step size=0.0000024ms, Time elapsed=0.000051s;
Time step 21400, Step size=0.0000024ms, Time elapsed=0.000051s;
Time step 21500, Step size=0.0000024ms, Time elapsed=0.000051s;
Time step 21600, Step size=0.0000024ms, Time elapsed=0.000051s;
Time step 21700, Step size=0.0000024ms, Time elapsed=0.000052s;
Time step 21800, Step size=0.0000024ms, Time elapsed=0.000052s;
Time step 21900, Step size=0.0000024ms, Time elapsed=0.000052s;
Time step 22000, Step size=0.0000024ms, Time elapsed=0.000052s;
Time step 22100, Step size=0.0000024ms, Time elapsed=0.000052s;
Time step 22200, Step size=0.0000024ms, Time elapsed=0.000053s;
Time step 22300, Step size=0.0000024ms, Time elapsed=0.000053s;
Time step 22400, Step size=0.0000024ms, Time elapsed=0.000053s;
Time step 22500, Step size=0.0000024ms, Time elapsed=0.000053s;
Time step 22600, Step size=0.0000024ms, Time elapsed=0.000054s;
Time step 22700, Step size=0.0000024ms, Time elapsed=0.000054s;
Time step 22800, Step size=0.0000024ms, Time elapsed=0.000054s;
Time step 22900, Step size=0.0000024ms, Time elapsed=0.000054s;
Time step 23000, Step size=0.0000024ms, Time elapsed=0.000055s;
Time step 23100, Step size=0.0000024ms, Time elapsed=0.000055s;
Time step 23200, Step size=0.0000024ms, Time elapsed=0.000055s;
